"seq","datetime","code","action","amount"
"306","1460797099","HD","up","10"
"307","1460797101","BOND","div","5"
"308","1460797101","EBD","up","10"
"309","1460797102","BP","up","5"
"310","1460797103","TECH","down","20"
"311","1460797104","BOND","down","10"
"312","1460797104","TECH","div","5"
"313","1460797104","PONZ","down","10"
"314","1460797105","BP","div","10"
"315","1460797105","PONZ","up","5"
"316","1460797105","EBD","div","10"
"317","1460797106","TECH","div","5"
"318","1460797106","PONZ","div","20"
"319","1460797106","BP","up","5"
"320","1460797107","EBD","down","10"
"321","1460797107","TECH","down","5"
"322","1460797109","EBD","up","5"
"323","1460797109","BOND","down","10"
"324","1460797110","TEL","up","10"
"325","1460797110","TECH","up","5"
"326","1460797110","PONZ","down","5"
"327","1460797111","BOND","div","20"
"328","1460797111","BP","div","5"
"329","1460797112","EBD","up","5"
"330","1460797112","BP","up","20"
"331","1460797116","PONZ","up","10"
"332","1460797116","PONZ","up","20"
"333","1460797116","BP","div","20"
"334","1460797116","EBD","up","10"
"335","1460797116","PONZ","div","20"
"336","1460797116","EBD","up","5"
"337","1460797117","BOND","down","10"
"338","1460797117","TECH","down","20"
"339","1460797117","PONZ","down","5"
"340","1460797118","BP","up","5"
"341","1460797119","HD","up","10"
"342","1460797119","TECH","down","20"
"343","1460797120","EBD","div","20"
"344","1460797121","PONZ","up","5"
"345","1460797121","BP","up","20"
"346","1460797122","PONZ","down","20"
"347","1460797122","EBD","down","10"
"348","1460797123","BP","down","20"
"349","1460797123","BOND","up","5"
"350","1460797125","TECH","down","10"
"351","1460797125","BOND","div","20"
"352","1460797125","BP","div","10"
"353","1460797126","TECH","div","10"
"354","1460797126","BOND","up","5"
"355","1460797127","BP","div","20"
"356","1460797128","TECH","down","5"
"357","1460797129","BP","down","5"
"358","1460797129","BOND","div","5"
"359","1460797130","EBD","down","5"
"360","1460797130","BP","div","5"
"361","1460797130","BOND","up","20"
"362","1460797130","PONZ","down","5"
"363","1460797131","TECH","div","5"
"364","1460797131","EBD","div","5"
"365","1460797131","EBD","div","5"
"366","1460797132","BOND","div","20"
"367","1460797133","TEL","down","20"
"368","1460797133","BP","down","10"
"369","1460797133","PONZ","up","5"
"370","1460797134","EBD","down","20"
"371","1460797134","BP","div","5"
"372","1460797135","TECH","div","20"
"373","1460797136","PONZ","up","20"
"374","1460797136","BOND","up","5"
"375","1460797136","PONZ","down","20"
"376","1460797137","BP","up","20"
"377","1460797138","HD","up","20"
"378","1460797138","EBD","down","5"
"379","1460797138","EBD","down","10"
"380","1460797138","PONZ","div","10"
"381","1460797138","PONZ","down","5"
"382","1460797139","TEL","div","20"
"383","1460797139","BP","up","10"
"384","1460797139","BOND","down","20"
"385","1460797139","TECH","up","10"
"386","1460797140","EBD","down","5"
"387","1460797140","PONZ","down","5"
"388","1460797141","BOND","down","10"
"389","1460797141","TECH","up","5"
"390","1460797142","PONZ","up","5"
"391","1460797142","BOND","down","10"
"392","1460797142","BP","up","10"
"393","1460797143","PONZ","up","10"
"394","1460797143","TECH","down","10"
"395","1460797143","BP","down","10"
"396","1460797144","TECH","up","10"
"397","1460797144","TECH","up","5"
"398","1460797145","BOND","up","5"
"399","1460797145","PONZ","div","10"
"400","1460797145","EBD","down","10"
"401","1460797146","TECH","div","20"
"402","1460797146","BP","down","20"
"403","1460797146","BP","up","10"
"404","1460797147","TEL","down","5"
"405","1460797148","BP","down","5"
"406","1460797148","BP","up","10"
"407","1460797149","EBD","up","5"
"408","1460797150","PONZ","down","5"
"409","1460797151","TECH","down","20"
"410","1460797151","BP","down","20"
"411","1460797151","TECH","down","20"
"412","1460797151","PONZ","down","5"
"413","1460797152","EBD","up","5"
"414","1460797152","EBD","down","20"
"415","1460797153","EBD","up","10"
"416","1460797154","PONZ","div","5"
"417","1460797154","TECH","div","20"
"418","1460797154","BP","down","5"
"419","1460797154","PONZ","down","5"
"420","1460797155","BOND","up","20"
"421","1460797155","PONZ","up","10"
"422","1460797156","PONZ","down","5"
"423","1460797157","EBD","down","5"
"424","1460797157","EBD","up","5"
"425","1460797158","TEL","up","5"
"426","1460797158","EBD","up","20"
"427","1460797159","HD","up","20"
"428","1460797159","TECH","up","10"
"429","1460797160","BOND","down","20"
"430","1460797160","BP","up","20"
"431","1460797161","PONZ","down","10"
"432","1460797162","EBD","up","5"
"433","1460797163","PONZ","up","20"
"434","1460797165","TEL","up","20"
"435","1460797165","BP","up","5"
"436","1460797165","BP","up","5"
"437","1460797166","PONZ","up","5"
"438","1460797167","EBD","div","5"
"439","1460797167","TECH","div","5"
"440","1460797167","PONZ","down","10"
"441","1460797168","TECH","up","5"
"442","1460797169","TEL","up","10"
"443","1460797171","BOND","div","20"
"444","1460797173","TECH","div","20"
"445","1460797173","PONZ","up","20"
"446","1460797173","BP","up","20"
"447","1460797174","EBD","up","10"
"448","1460797175","BP","down","20"
"449","1460797175","PONZ","down","20"
"450","1460797175","BP","down","10"
"451","1460797176","EBD","up","5"
"452","1460797177","TECH","down","10"
"453","1460797178","TEL","div","10"
"454","1460797178","EBD","up","20"
"455","1460797179","BP","down","20"
"456","1460797179","EBD","up","20"
"457","1460797180","BP","down","5"
"458","1460797180","EBD","div","5"
"459","1460797181","BOND","down","10"
"460","1460797181","BP","down","10"
"461","1460797183","HD","up","10"
"462","1460797183","EBD","down","10"
"463","1460797183","PONZ","down","5"
"464","1460797184","PONZ","down","5"
"465","1460797185","BOND","down","10"
"466","1460797185","TECH","up","10"
"467","1460797186","TEL","up","20"
"468","1460797186","BOND","down","5"
"469","1460797186","BP","div","20"
"470","1460797187","PONZ","up","5"
"471","1460797187","EBD","down","10"
"472","1460797188","BP","down","20"
"473","1460797188","BP","up","5"
"474","1460797188","BP","down","20"
"475","1460797189","BP","down","10"
"476","1460797189","PONZ","down","5"
"477","1460797189","BP","up","10"
"478","1460797190","PONZ","down","20"
"479","1460797190","PONZ","down","10"
"480","1460797191","EBD","down","20"
"481","1460797192","TEL","div","5"
"482","1460797192","EBD","down","5"
"483","1460797192","BP","down","10"
"484","1460797193","PONZ","down","10"
"485","1460797193","HD","up","10"
"486","1460797193","BP","div","10"
"487","1460797193","BP","up","20"
"488","1460797194","EBD","down","10"
"489","1460797195","EBD","up","10"
"490","1460797196","BOND","down","20"
"491","1460797196","BP","up","5"
"492","1460797196","PONZ","up","10"
"493","1460797196","BOND","down","5"
"494","1460797196","BP","up","20"
"495","1460797196","BP","div","10"
"496","1460797197","TEL","down","10"
"497","1460797197","BP","down","10"
"498","1460797198","TECH","div","5"
"499","1460797198","PONZ","up","20"
"500","1460797199","TECH","up","20"
"501","1460797199","PONZ","down","20"
"502","1460797199","PONZ","up","10"
"503","1460797200","BP","div","20"
"504","1460797200","PONZ","up","10"
"505","1460797200","BP","down","5"
"506","1460797201","EBD","up","20"
"507","1460797202","TECH","div","5"
"508","1460797202","EBD","up","10"
"509","1460797202","EBD","up","5"
"510","1460797202","EBD","div","10"
"511","1460797203","EBD","down","10"
"512","1460797203","PONZ","up","20"
"513","1460797203","BP","up","5"
"514","1460797204","BOND","down","5"
"515","1460797204","BP","up","5"
"516","1460797205","BP","div","20"
"517","1460797206","TEL","up","5"
"518","1460797207","HD","div","5"
"519","1460797207","BOND","down","20"
"520","1460797208","BOND","down","5"
"521","1460797208","PONZ","div","20"
"522","1460797211","TECH","up","20"
"523","1460797212","TEL","div","20"
"524","1460797212","BOND","up","5"
"525","1460797212","EBD","div","20"
"526","1460797212","PONZ","up","5"
"527","1460797214","TEL","up","20"
"528","1460797214","PONZ","down","20"
"529","1460797214","BP","down","5"
"530","1460797215","PONZ","div","10"
"531","1460797215","PONZ","down","5"
"532","1460797215","EBD","down","20"
"533","1460797216","EBD","down","5"
"534","1460797216","EBD","div","20"
"535","1460797217","TEL","div","5"
"536","1460797218","BP","up","10"
"537","1460797218","EBD","up","10"
"538","1460797218","BOND","div","20"
"539","1460797219","EBD","up","5"
"540","1460797221","BOND","up","20"
"541","1460797221","BP","down","5"
"542","1460797222","BP","div","20"
"543","1460797222","TECH","div","5"
"544","1460797222","BP","down","20"
"545","1460797224","EBD","down","20"
"546","1460797224","BP","up","20"
"547","1460797224","BP","div","5"
"548","1460797225","BOND","div","20"
"549","1460797226","BOND","down","5"
"550","1460797226","EBD","down","20"
"551","1460797227","TEL","div","5"
"552","1460797227","BP","down","5"
"553","1460797228","BP","up","5"
"554","1460797229","BOND","down","10"
"555","1460797229","BP","up","5"
"556","1460797230","EBD","div","20"
"557","1460797230","HD","div","10"
"558","1460797230","BP","down","5"
"559","1460797230","TECH","down","20"
"560","1460797232","PONZ","down","5"
"561","1460797232","PONZ","up","20"
"562","1460797233","BOND","down","5"
"563","1460797233","HD","div","10"
"564","1460797233","EBD","div","10"
"565","1460797233","PONZ","div","5"
"566","1460797235","HD","div","20"
"567","1460797236","EBD","up","10"
"568","1460797237","TECH","div","10"
"569","1460797237","BOND","div","20"
"570","1460797237","BP","div","20"
"571","1460797237","TECH","div","10"
"572","1460797238","TEL","div","10"
"573","1460797238","BOND","div","5"
"574","1460797238","BP","down","10"
"575","1460797239","PONZ","down","10"
"576","1460797239","TECH","up","20"
"577","1460797240","BOND","down","20"
"578","1460797240","TECH","div","5"
"579","1460797240","PONZ","down","5"
"580","1460797240","PONZ","up","5"
"581","1460797240","BP","div","20"
"582","1460797241","BOND","div","5"
"583","1460797241","EBD","div","5"
"584","1460797241","EBD","up","20"
"585","1460797242","PONZ","down","10"
"586","1460797243","BOND","div","10"
"587","1460797243","BP","down","10"
"588","1460797243","BOND","down","20"
"589","1460797243","BP","down","5"
"590","1460797244","HD","up","10"
"591","1460797244","BOND","div","20"
"592","1460797244","BOND","div","20"
"593","1460797244","BP","up","10"
"594","1460797244","BP","down","5"
"595","1460797244","BP","down","5"
"596","1460797244","PONZ","up","5"
"597","1460797244","PONZ","down","5"
"598","1460797244","PONZ","up","5"
"599","1460797245","HD","up","20"
"600","1460797245","HD","div","10"
"601","1460797245","PONZ","div","5"
"602","1460797246","TECH","up","20"
"603","1460797246","TECH","div","5"
"604","1460797246","BP","div","10"
"605","1460797246","PONZ","down","5"
"606","1460797247","PONZ","div","10"
"607","1460797248","BOND","div","20"
"608","1460797248","HD","div","10"
"609","1460797248","BOND","div","10"
"610","1460797249","EBD","down","5"
"611","1460797249","TECH","div","10"
"612","1460797249","BP","down","10"
"613","1460797249","PONZ","up","20"
"614","1460797250","TECH","down","10"
"615","1460797250","EBD","down","20"
"616","1460797251","TEL","div","10"
"617","1460797251","TECH","down","10"
"618","1460797252","EBD","up","10"
"619","1460797252","HD","div","20"
"620","1460797252","BP","up","10"
"621","1460797252","PONZ","down","10"
"622","1460797253","BOND","down","20"
"623","1460797253","HD","div","10"
"624","1460797253","EBD","div","10"
"625","1460797253","PONZ","up","5"
"626","1460797254","EBD","div","10"
"627","1460797255","TEL","div","10"
"628","1460797255","PONZ","up","5"
"629","1460797255","TECH","up","5"
"630","1460797255","BP","up","20"
"631","1460797256","PONZ","up","5"
"632","1460797256","EBD","div","10"
"633","1460797256","PONZ","down","10"
"634","1460797257","EBD","down","5"
"635","1460797257","BOND","down","5"
"636","1460797258","EBD","down","5"
"637","1460797258","BP","up","20"
"638","1460797258","TECH","up","20"
"639","1460797258","EBD","up","5"
"640","1460797259","TECH","div","5"
"641","1460797259","EBD","down","5"
"642","1460797259","TECH","div","5"
"643","1460797259","BP","down","20"
"644","1460797260","EBD","down","20"
"645","1460797261","PONZ","down","20"
"646","1460797261","EBD","down","5"
"647","1460797261","PONZ","up","10"
"648","1460797262","TEL","div","20"
"649","1460797262","PONZ","up","5"
"650","1460797262","EBD","div","5"
"651","1460797263","BP","up","20"
"652","1460797264","PONZ","down","5"
"653","1460797264","EBD","down","5"
"654","1460797265","TECH","down","10"
"655","1460797265","EBD","down","20"
